round,train_acc,train_loss,test_acc,test_loss,dmcfe_fedavg_max_error,dmcfe_fedavg_mean_error
0,0.18018617021276595,2.272245515986589,0.17989417989417988,2.2719380508331506,2.8984649982856728e-05,1.0596534917826759e-05
0,0.18018617021276595,2.272245515986589,0.17989417989417988,2.2719380508331506,2.8984649982856728e-05,1.0596534917826759e-05
1,0.24763233004670474,2.2477396068602538,0.24609957943291277,2.247680503693579,3.011485834856733e-05,8.646859387344507e-06
1,0.24763233004670474,2.2477396068602538,0.24609957943291277,2.247680503693579,3.011485834856733e-05,8.646859387344507e-06
2,0.2923585884795018,2.218091381411201,0.2914122914122914,2.2178298207284186,2.8970155886612662e-05,7.9882151993746e-06
2,0.2923585884795018,2.218091381411201,0.2914122914122914,2.2178298207284186,2.8970155886612662e-05,7.9882151993746e-06
3,0.35938310845874416,2.187968217961579,0.3584316917650251,2.187211691435634,2.908650039722333e-05,9.352908838401331e-06
3,0.35938310845874416,2.187968217961579,0.3584316917650251,2.187211691435634,2.908650039722333e-05,9.352908838401331e-06
4,0.40245524130773225,2.169656631601061,0.39791073124406456,2.1687941986740467,2.9206380767627035e-05,8.561615336802565e-06
4,0.40245524130773225,2.169656631601061,0.39791073124406456,2.1687941986740467,2.9206380767627035e-05,8.561615336802565e-06
5,0.4106123508043591,2.1259658101387418,0.40496540496540495,2.1239935674623367,2.9863475649734967e-05,1.2627365272005056e-05
5,0.4106123508043591,2.1259658101387418,0.40496540496540495,2.1239935674623367,2.9863475649734967e-05,1.2627365272005056e-05
6,0.4169531655422937,2.1167105527224477,0.4143264143264143,2.1145191279636313,2.849504817277194e-05,7.64757153531249e-06
6,0.4169531655422937,2.1167105527224477,0.4143264143264143,2.1145191279636313,2.849504817277194e-05,7.64757153531249e-06
7,0.4416515308770109,2.093748007060551,0.43399810066476735,2.09153398107664,2.8920071756523423e-05,8.100603349629895e-06
7,0.4416515308770109,2.093748007060551,0.43399810066476735,2.09153398107664,2.8920071756523423e-05,8.100603349629895e-06
8,0.4660417747794499,2.0759391426618663,0.45706145706145707,2.0736009947659446,2.9816465243568714e-05,9.843866425073624e-06
8,0.4660417747794499,2.0759391426618663,0.45706145706145707,2.0736009947659446,2.9816465243568714e-05,9.843866425073624e-06
9,0.43822976128697455,2.0643095703777186,0.43657576990910324,2.06094000153845,3.0214207947163482e-05,1.3162699573913227e-05
9,0.43822976128697455,2.0643095703777186,0.43657576990910324,2.06094000153845,3.0214207947163482e-05,1.3162699573913227e-05
10,0.47953425012973533,2.046814478924145,0.47686881020214356,2.0433922524271724,2.9200185385961416e-05,8.934231722230911e-06
10,0.47953425012973533,2.046814478924145,0.47686881020214356,2.0433922524271724,2.9200185385961416e-05,8.934231722230911e-06
11,0.4858426310326933,2.0408799562663167,0.4835164835164835,2.0374385145492977,2.831645542755723e-05,8.50686864724534e-06
11,0.4858426310326933,2.0408799562663167,0.4835164835164835,2.0374385145492977,2.831645542755723e-05,8.50686864724534e-06
12,0.49719447327452,2.035895203936654,0.4945054945054945,2.0324691138780517,2.9462841283305562e-05,9.503003167126631e-06
