round,train_acc,train_loss,test_acc,test_loss,dmcfe_fedavg_max_error,dmcfe_fedavg_mean_error
0,0.1801537363777893,2.2722445681331593,0.17989417989417988,2.271937636681545,2.8984649982856728e-05,1.0596534917826759e-05
0,0.1801537363777893,2.2722445681331593,0.17989417989417988,2.271937636681545,2.8984649982856728e-05,1.0596534917826759e-05
1,0.24772963155163466,2.2477297978016555,0.24623524623524623,2.2476720361142903,0.026075179145889273,0.0014395847952113979
1,0.24772963155163466,2.2477297978016555,0.24623524623524623,2.2476720361142903,0.026075179145889273,0.0014395847952113979
2,0.2922937208095485,2.218085417182769,0.2914122914122914,2.217826031212114,0.03864028138837012,0.001514647561371093
2,0.2922937208095485,2.218085417182769,0.2914122914122914,2.217826031212114,0.03864028138837012,0.001514647561371093
0,0.1801537363777893,2.2722445681331593,0.17989417989417988,2.271937636681545,2.8984649982856728e-05,1.0596534917826759e-05
0,0.1801537363777893,2.2722445681331593,0.17989417989417988,2.271937636681545,2.8984649982856728e-05,1.0596534917826759e-05
1,0.24772963155163466,2.2477297978016555,0.24623524623524623,2.2476720361142903,3.0129715854015492e-05,8.636776500893288e-06
1,0.24772963155163466,2.2477297978016555,0.24623524623524623,2.2476720361142903,3.0129715854015492e-05,8.636776500893288e-06
2,0.2922937208095485,2.218085417182769,0.2914122914122914,2.217826031212114,2.9105552320563525e-05,7.992811759419917e-06
2,0.2922937208095485,2.218085417182769,0.2914122914122914,2.217826031212114,2.9105552320563525e-05,7.992811759419917e-06
0,0.0947067981318111,2.324340458994139,0.09320309320309321,2.324245774136229,2.8984649982856728e-05,1.0596534917826759e-05
0,0.0947067981318111,2.324340458994139,0.09320309320309321,2.324245774136229,2.8984649982856728e-05,1.0596534917826759e-05
1,0.0991988842760768,2.322984030678072,0.10080043413376746,2.322584001976896,2.9340037144720554e-05,8.502311015916488e-06
1,0.0991988842760768,2.322984030678072,0.10080043413376746,2.322584001976896,2.9340037144720554e-05,8.502311015916488e-06
2,0.10026920083030617,2.3191135932295572,0.1020214353547687,2.3186079727036226,2.9298425435500064e-05,8.09984305055746e-06
2,0.10026920083030617,2.3191135932295572,0.1020214353547687,2.3186079727036226,2.9298425435500064e-05,8.09984305055746e-06
0,0.18018617021276595,2.272245515986589,0.17989417989417988,2.2719380508331506,2.8984649982856728e-05,1.0596534917826759e-05
0,0.18018617021276595,2.272245515986589,0.17989417989417988,2.2719380508331506,2.8984649982856728e-05,1.0596534917826759e-05
1,0.24763233004670474,2.2477396068602538,0.24609957943291277,2.247680503693579,3.011485834856733e-05,8.646859387344507e-06
1,0.24763233004670474,2.2477396068602538,0.24609957943291277,2.247680503693579,3.011485834856733e-05,8.646859387344507e-06
2,0.2923585884795018,2.218091381411201,0.2914122914122914,2.2178298207284186,2.8970155886612662e-05,7.9882151993746e-06
2,0.2923585884795018,2.218091381411201,0.2914122914122914,2.2178298207284186,2.8970155886612662e-05,7.9882151993746e-06
0,0.18018617021276595,2.272245515986589,0.17989417989417988,2.2719380508331506,2.8984649982856728e-05,1.0596534917826759e-05
0,0.18018617021276595,2.272245515986589,0.17989417989417988,2.2719380508331506,2.8984649982856728e-05,1.0596534917826759e-05
1,0.24763233004670474,2.2477396068602538,0.24609957943291277,2.247680503693579,3.011485834856733e-05,8.646859387344507e-06
1,0.24763233004670474,2.2477396068602538,0.24609957943291277,2.247680503693579,3.011485834856733e-05,8.646859387344507e-06
2,0.2923585884795018,2.218091381411201,0.2914122914122914,2.2178298207284186,2.8970155886612662e-05,7.9882151993746e-06
2,0.2923585884795018,2.218091381411201,0.2914122914122914,2.2178298207284186,2.8970155886612662e-05,7.9882151993746e-06
