seed,clients,coordinates,scale,clip_bound,chunk_size,chunks,clipped_fraction,max_abs_error,mean_abs_error,elapsed_ms_median,elapsed_ms_min,elapsed_ms_max,timing_repeats,backend
0,8,32768,1024,0.5,256,128,0.5093879699707031,1.5920394145162804,0.1423366440693568,15.318400000978727,14.073500000449712,19.028099999559345,7,chunked-reference
0,8,32768,1024,0.5,1024,32,0.5093879699707031,1.5920394145162804,0.1423366440693568,10.181600000578328,8.371999998416868,10.316399999283021,7,chunked-reference
0,8,32768,1024,0.5,4096,8,0.5093879699707031,1.5920394145162804,0.1423366440693568,7.903499999883934,5.929300001298543,22.817099999883794,7,chunked-reference
0,8,32768,1024,0.5,16384,2,0.5093879699707031,1.5920394145162804,0.1423366440693568,6.974299998546485,5.599399999482557,7.681400000365102,7,chunked-reference
0,8,32768,1024,0.5,65536,1,0.5093879699707031,1.5920394145162804,0.1423366440693568,7.1592000003875,6.21809999938705,7.229900000311318,7,chunked-reference
0,8,32768,1024,1.0,256,128,0.1901702880859375,1.6368511021545546,0.07327764367909008,17.418299999917508,14.413900000363356,19.024899998839828,7,chunked-reference
0,8,32768,1024,1.0,1024,32,0.1901702880859375,1.6368511021545546,0.07327764367909008,8.993999999802327,7.68909999897005,10.489899999811314,7,chunked-reference
0,8,32768,1024,1.0,4096,8,0.1901702880859375,1.6368511021545546,0.07327764367909008,6.929799999852548,5.985099998724763,7.853099999920232,7,chunked-reference
0,8,32768,1024,1.0,16384,2,0.1901702880859375,1.6368511021545546,0.07327764367909008,7.241299999805051,6.299200000285055,7.884499998908723,7,chunked-reference
0,8,32768,1024,1.0,65536,1,0.1901702880859375,1.6368511021545546,0.07327764367909008,7.373099999313126,5.735000000640866,7.767999999487074,7,chunked-reference
0,8,32768,1024,2.0,256,128,0.017425537109375,1.3771373300306609,0.02117871117230576,17.24649999960093,15.401200000269455,18.22589999937918,7,chunked-reference
0,8,32768,1024,2.0,1024,32,0.017425537109375,1.3771373300306609,0.02117871117230576,9.973499998523039,8.258099998784019,10.615099999995437,7,chunked-reference
0,8,32768,1024,2.0,4096,8,0.017425537109375,1.3771373300306609,0.02117871117230576,6.522100000438513,6.035399999746005,8.623600000646547,7,chunked-reference
0,8,32768,1024,2.0,16384,2,0.017425537109375,1.3771373300306609,0.02117871117230576,6.88810000065132,5.567399999563349,7.44959999974526,7,chunked-reference
0,8,32768,1024,2.0,65536,1,0.017425537109375,1.3771373300306609,0.02117871117230576,7.274699999470613,5.961900000329479,7.383800000752672,7,chunked-reference
0,8,32768,1024,8.0,256,128,0.0,0.00041101193709691154,8.365659469387928e-05,18.769000000247615,15.270399999280926,20.81250000082946,7,chunked-reference
0,8,32768,1024,8.0,1024,32,0.0,0.00041101193709691154,8.365659469387928e-05,9.326600000349572,7.481500000722008,10.509699999602162,7,chunked-reference
0,8,32768,1024,8.0,4096,8,0.0,0.00041101193709691154,8.365659469387928e-05,7.270699999935459,5.964199999652919,8.201200000257813,7,chunked-reference
0,8,32768,1024,8.0,16384,2,0.0,0.00041101193709691154,8.365659469387928e-05,6.433100001231651,5.47030000052473,7.346200000029057,7,chunked-reference
0,8,32768,1024,8.0,65536,1,0.0,0.00041101193709691154,8.365659469387928e-05,6.022300000040559,5.446400000437279,7.115899999917019,7,chunked-reference
0,8,32768,16384,0.5,256,128,0.5093879699707031,1.59202699143138,0.14233683402057273,16.274199999315897,14.878200001476216,18.449200000759447,7,chunked-reference
0,8,32768,16384,0.5,1024,32,0.5093879699707031,1.59202699143138,0.14233683402057273,9.11400000040885,8.087300000624964,10.508299999855808,7,chunked-reference
0,8,32768,16384,0.5,4096,8,0.5093879699707031,1.59202699143138,0.14233683402057273,6.641099998887512,5.8625999990908895,8.544000000256347,7,chunked-reference
0,8,32768,16384,0.5,16384,2,0.5093879699707031,1.59202699143138,0.14233683402057273,7.908499999757623,6.140800000139279,8.089400000244495,7,chunked-reference
0,8,32768,16384,0.5,65536,1,0.5093879699707031,1.59202699143138,0.14233683402057273,11.832700000013574,7.6539000001503155,35.78919999927166,7,chunked-reference
0,8,32768,16384,1.0,256,128,0.1901702880859375,1.6369372535476687,0.07326375474453428,17.71269999881042,15.355899999121903,22.369199999957345,7,chunked-reference
0,8,32768,16384,1.0,1024,32,0.1901702880859375,1.6369372535476687,0.07326375474453428,10.0337000003492,8.54570000046806,12.904799999887473,7,chunked-reference
0,8,32768,16384,1.0,4096,8,0.1901702880859375,1.6369372535476687,0.07326375474453428,6.727899999532383,6.3677999987703515,8.585999999922933,7,chunked-reference
0,8,32768,16384,1.0,16384,2,0.1901702880859375,1.6369372535476687,0.07326375474453428,6.517999998322921,6.026499999279622,7.378700000117533,7,chunked-reference
0,8,32768,16384,1.0,65536,1,0.1901702880859375,1.6369372535476687,0.07326375474453428,7.5176999998802785,6.33910000033211,7.955999999467167,7,chunked-reference
0,8,32768,16384,2.0,256,128,0.017425537109375,1.3771972849186587,0.021110627684816807,17.15150000018184,15.712999998868327,21.367900000768714,7,chunked-reference
0,8,32768,16384,2.0,1024,32,0.017425537109375,1.3771972849186587,0.021110627684816807,10.228700000880053,8.057600000029197,11.074599999119528,7,chunked-reference
0,8,32768,16384,2.0,4096,8,0.017425537109375,1.3771972849186587,0.021110627684816807,7.443200000125216,5.951700000878191,8.450799999991432,7,chunked-reference
0,8,32768,16384,2.0,16384,2,0.017425537109375,1.3771972849186587,0.021110627684816807,6.468499999755295,5.676700000549317,7.859299999836367,7,chunked-reference
0,8,32768,16384,2.0,65536,1,0.017425537109375,1.3771972849186587,0.021110627684816807,7.2069000016199425,5.574700000579469,7.70840000041062,7,chunked-reference
0,8,32768,16384,8.0,256,128,0.0,2.3712349081939088e-05,5.237985021130596e-06,15.403499999592896,14.662700001281337,19.062400000620983,7,chunked-reference
0,8,32768,16384,8.0,1024,32,0.0,2.3712349081939088e-05,5.237985021130596e-06,9.771500001079403,8.414400001129252,10.910099999819067,7,chunked-reference
0,8,32768,16384,8.0,4096,8,0.0,2.3712349081939088e-05,5.237985021130596e-06,6.549800000357209,5.874799999219249,6.960099999560043,7,chunked-reference
