round,train_acc,train_loss,test_acc,test_loss,dmcfe_fedavg_max_error,dmcfe_fedavg_mean_error
0,0.18018617021276595,2.272245515986589,0.17989417989417988,2.2719380508331506,2.8984649982856728e-05,1.0596534917826759e-05
0,0.18018617021276595,2.272245515986589,0.17989417989417988,2.2719380508331506,2.8984649982856728e-05,1.0596534917826759e-05
1,0.24763233004670474,2.2477396068602538,0.24609957943291277,2.247680503693579,3.011485834856733e-05,8.646859387344507e-06
1,0.24763233004670474,2.2477396068602538,0.24609957943291277,2.247680503693579,3.011485834856733e-05,8.646859387344507e-06
2,0.2923585884795018,2.218091381411201,0.2914122914122914,2.2178298207284186,2.8970155886612662e-05,7.9882151993746e-06
2,0.2923585884795018,2.218091381411201,0.2914122914122914,2.2178298207284186,2.8970155886612662e-05,7.9882151993746e-06
0,0.18018617021276595,2.272245515986589,0.17989417989417988,2.2719380508331506,2.8984649982856728e-05,1.0596534917826759e-05
0,0.18018617021276595,2.272245515986589,0.17989417989417988,2.2719380508331506,2.8984649982856728e-05,1.0596534917826759e-05
1,0.24763233004670474,2.2477396068602538,0.24609957943291277,2.247680503693579,3.011485834856733e-05,8.646859387344507e-06
1,0.24763233004670474,2.2477396068602538,0.24609957943291277,2.247680503693579,3.011485834856733e-05,8.646859387344507e-06
2,0.2923585884795018,2.218091381411201,0.2914122914122914,2.2178298207284186,2.8970155886612662e-05,7.9882151993746e-06
2,0.2923585884795018,2.218091381411201,0.2914122914122914,2.2178298207284186,2.8970155886612662e-05,7.9882151993746e-06
0,0.18018617021276595,2.272245515986589,0.17989417989417988,2.2719380508331506,2.8984649982856728e-05,1.0596534917826759e-05
0,0.18018617021276595,2.272245515986589,0.17989417989417988,2.2719380508331506,2.8984649982856728e-05,1.0596534917826759e-05
1,0.24763233004670474,2.2477396068602538,0.24609957943291277,2.247680503693579,3.011485834856733e-05,8.646859387344507e-06
1,0.24763233004670474,2.2477396068602538,0.24609957943291277,2.247680503693579,3.011485834856733e-05,8.646859387344507e-06
2,0.2923585884795018,2.218091381411201,0.2914122914122914,2.2178298207284186,2.8970155886612662e-05,7.9882151993746e-06
2,0.2923585884795018,2.218091381411201,0.2914122914122914,2.2178298207284186,2.8970155886612662e-05,7.9882151993746e-06
