method,baseline,seed,delta_final_test_acc,delta_final_test_loss
FedRep,FedAvg,0,0.0402930402930403,-0.37405964316126283
FedRep+FixedPointReference,FedAvg,0,0.0402930402930403,-0.37414034455913514
