method,round,n_seeds,test_acc_mean,test_acc_sd,test_loss_mean,test_loss_sd
FedAvg,0,3,0.14977614977614978,0.02988706092618111,2.7960160968895384,0.12170195135361848
FedAvg,1,3,0.10297110297110297,0.0,2.7348836292826695,0.06692872234016278
FedAvg,2,3,0.15031881698548366,0.03598394102648902,2.3408958890386002,0.08283510264308039
FedAvg,3,3,0.09957943291276625,0.0009496676163342835,2.81983278810234,0.11153694708852577
FedAvg,4,3,0.11296522407633518,0.01815368494378346,2.494541472966671,0.022696374309319495
FedAvg,5,3,0.09252475919142586,0.000755360787251392,4.611265854156775,0.19765475022758647
FedAvg,6,3,0.21078098855876634,0.052843278941630295,2.156239748758522,0.036231759468703065
FedAvg,7,3,0.3011350789128567,0.02516841628004968,2.054369306834416,0.016065720161621014
FedAvg,8,3,0.15348437570659793,0.03429160140742829,3.1253297890215603,0.06256384103027643
FedAvg,9,3,0.10640799529688419,0.00576277913381551,6.147211526128145,0.19718877668857718
FedAvg,10,3,0.24736580292135849,0.013926402663590012,1.9558522362670203,0.011552108382612837
FedAvg,11,3,0.2708813819924931,0.0056172172854674594,1.9703427268000036,0.018840875103239983
FedAvg,12,3,0.2678514900737123,0.008101856658639078,2.272866452726937,0.006822857591792107
FedAvg,13,3,0.3094559761226428,0.037006710793715474,1.93965965487373,0.06105629435116756
FedAvg,14,3,0.2218604440826663,0.010211424311632281,3.638541931504779,0.19929654592270085
FedAvg,15,3,0.3440510107176774,0.0132780309137073,2.0127849900332175,0.017065550897692298
FedAvg,16,3,0.3469904581015692,0.05519393951934215,2.0800369062221282,0.14064787019798494
FedAvg,17,3,0.2737303848414959,0.01499491561084107,2.83374009492865,0.3301613076111615
FedAvg,18,3,0.5174784063672953,0.03175134588396329,1.4757705925850653,0.06433532751086665
FedAvg,19,3,0.6035363813141591,0.02149252191407293,1.3380549929719605,0.05916802336113328
FedAvg,20,3,0.2083389861167639,0.021114537696299205,3.8427686515038606,0.3209868969284113
FedAvg,21,3,0.23999457332790666,0.014795147467002003,2.7039128856350962,0.26216859876009224
FedAvg,22,3,0.2666757111201556,0.018512595607741066,2.3453092619477456,0.14382743682444338
FedAvg,23,3,0.4059602948491837,0.040926052098428534,1.781276392625681,0.11932075689479116
FedAvg,24,3,0.4020711798489576,0.027271502007189825,1.7069352192166616,0.12934327254743094
FedAvg,25,3,0.18477818477818478,0.014720316940191516,4.244833114461654,0.4186845771592197
FedAvg,26,3,0.31216931216931215,0.021288883729136385,1.7902415367399807,0.0657091088806449
FedAvg,27,3,0.36033102699769365,0.005256103819783081,1.98558204172396,0.035313047121749604
FedAvg,28,3,0.4526296748518971,0.025161102289461865,1.5809350224963887,0.07478026949795961
FedAvg,29,3,0.5082982860760639,0.04185498585650576,1.4577094837571354,0.05277941552850511
FedAvg,30,3,0.18002984669651337,0.019639380468536232,4.255680274599533,0.42312015294874183
