method,seed,backend,backend_secure,rounds,final_test_acc,final_test_loss,mean_test_acc,best_test_acc,first_round_at_target,accuracy_target,claim_boundary
FedAvg,0,plaintext,False,50,0.6288156288156288,1.0410272899200699,0.3878279744946412,0.7620404287070953,43,0.75,algorithmic_baseline
FedAvg,1,plaintext,False,50,0.5963912630579298,1.1462470902475383,0.38120200786867453,0.7293447293447294,,0.75,algorithmic_baseline
FedAvg,2,plaintext,False,50,0.5943562610229277,1.1841010593045973,0.38942341609008274,0.7578347578347578,43,0.75,algorithmic_baseline
FedRep,0,plaintext,False,50,0.5109211775878443,1.3329372764356893,0.33754985754985756,0.5615248948582282,,0.75,algorithmic_baseline
FedRep,1,plaintext,False,50,0.4893501560168227,1.429052838271768,0.3433943833943834,0.49097815764482433,,0.75,algorithmic_baseline
FedRep,2,plaintext,False,50,0.592999592999593,1.1259744922617656,0.40346764346764347,0.6388549721883056,,0.75,algorithmic_baseline
FedRep+FixedPointReference,0,chunked-reference,False,50,0.5836385836385837,1.1058411537563133,0.35543074209740877,0.5894722561389228,,0.75,fixed_point_reference_only
FedRep+FixedPointReference,1,chunked-reference,False,50,0.5136345136345136,1.2804615078560548,0.3458499525166192,0.5153981820648488,,0.75,fixed_point_reference_only
FedRep+FixedPointReference,2,chunked-reference,False,50,0.6072446072446073,1.1120044257718944,0.40901098901098903,0.6408899742233075,,0.75,fixed_point_reference_only
