method,baseline,seed,delta_final_test_acc,delta_final_test_loss
FedRep,FedAvg,0,-0.11789445122778452,0.2919099865156194
FedRep,FedAvg,1,-0.10704110704110709,0.28280574802422964
FedRep,FedAvg,2,-0.0013566680233346728,-0.0581265670428317
FedRep+FixedPointReference,FedAvg,0,-0.04517704517704513,0.06481386383624343
FedRep+FixedPointReference,FedAvg,1,-0.08275674942341615,0.1342144176085165
FedRep+FixedPointReference,FedAvg,2,0.012888346221679559,-0.0720966335327029
