seed,dimension,trial,clients,modulus_bits,max_abs_error,prepare_encryption_seconds,encryption_seconds,derive_key_seconds,prepare_decryption_seconds,decryption_seconds,payload_encode_seconds,round_seconds,ciphertext_payload_bytes,derived_key_payload_bytes
3,8,3,3,256,0,0.0001765000000002459,3.740000000007626e-05,1.8999999999991246e-06,9.509999999934848e-05,0.00019730000000084402,9.799999999948739e-06,0.0005283000000000371,1536,4
3,8,4,3,256,0,0.0001326999999999856,3.1600000000686634e-05,1.1999999998124622e-06,8.249999999954127e-05,0.00019110000000033267,9.799999999948739e-06,0.00045849999999969526,1536,4
3,8,5,3,256,0,0.00013420000000063936,3.030000000059374e-05,1.2000000007006406e-06,7.58000000002923e-05,0.00019039999999925783,8.900000000089392e-06,0.0004500000000007276,1536,4
3,8,6,3,256,0,0.00012810000000040844,3.0000000000640625e-05,1.1000000004202093e-06,7.459999999959166e-05,0.0001910999999994445,8.500000000744024e-06,0.00044230000000045067,1536,4
4,8,0,3,256,0,0.00018779999999996022,4.220000000021429e-05,1.3000000000928935e-06,3.8200000000543355e-05,0.00019659999999976918,8.800000000697139e-06,0.00048389999999987054,1536,4
4,8,1,3,256,0,0.00017770000000005837,3.059999999965868e-05,1.0999999995320309e-06,3.509999999984359e-05,0.0001968999999997223,8.499999999855845e-06,0.000458400000000303,1536,4
4,8,2,3,256,0,0.0001706999999999681,3.0399999999985994e-05,1.1999999998124622e-06,3.509999999984359e-05,0.0001977000000001894,8.600000000136276e-06,0.0004527999999996979,1536,4
4,8,3,3,256,0,0.0001816999999997293,3.080000000021954e-05,1.1000000004202093e-06,3.580000000003025e-05,0.0001981999999998152,8.499999999855845e-06,0.0004648999999998793,1536,4
4,8,4,3,256,0,0.00018189999999940198,3.0500000000266425e-05,1.2000000007006406e-06,3.62000000002638e-05,0.00026259999999922456,1.4699999999479019e-05,0.000540299999999938,1536,4
4,8,5,3,256,0,0.00027310000000024814,3.2100000000312434e-05,2.000000000279556e-06,4.290000000040095e-05,0.0002330999999999861,1.699999999971169e-05,0.0006151999999994828,1536,4
4,8,6,3,256,0,0.0002765999999994051,4.7399999999697684e-05,2.4999999999053557e-06,5.710000000025417e-05,0.00022689999999947474,1.2199999999573663e-05,0.0006349000000005489,1536,4
0,32,0,3,256,0,0.0003073000000002324,0.0001883000000004742,3.000000000419334e-06,5.830000000006663e-05,0.001179500000000111,4.730000000030543e-05,0.0018297999999994374,6144,4
0,32,1,3,256,0,0.0002975999999996759,0.0001304999999991452,2.19999999995224e-06,5.2900000000022374e-05,0.0010437000000003138,3.179999999947114e-05,0.0015911000000006226,6144,4
0,32,2,3,256,0,0.00025190000000030466,0.0001310999999999396,2.299999999344493e-06,4.389999999965255e-05,0.000819799999999482,2.9400000000734394e-05,0.001310199999999817,6144,4
