run_id,method,seed,round,test_acc,test_loss,train_acc,train_loss,dmcfe_fedavg_max_error,dmcfe_fedavg_mean_error,dmcfe_fedrep_max_error,dmcfe_fedrep_mean_error,dropout_rate,online_clients,online_client_ids,recovery_threshold,coded_communication_rounds,secagg_baseline_rounds,recovery_error,dmcfe_weight_signatures_verified,config_hash,matrix_id,backend,backend_secure,participation_rate,protocol_dropout_rate,coordinates,chunks,chunk_size,scale,clip_bound,clipped_fraction,encode_seconds,aggregate_seconds,total_aggregation_seconds,serialized_upload_bytes,serialized_key_bytes,recovery_bytes,peak_memory_bytes
fedavg_seed0_1r,FedAvg,0,0,0.11708045041378375,2.9263233840505976,0.11888622210690192,2.924337872268258,,,,,0.0,3,"993,859,298",3,,,,,e8b97b1c29093c8dae2fc5bd41a802e05961de32c1cf5dfe9f153c1afe923222,759bf850e6cdbd12,plaintext,False,0.003,0.0,,,,,,,,,,,,,
fedrep_seed0_1r,FedRep,0,0,0.15737349070682405,2.5522637408893347,0.15942851582771148,2.550470299952092,,,,,0.0,3,"993,859,298",3,,,,,b5ab4f1910aea64d42efd0540dd1bdd46abe4424184b8e7f969b782fe8c2fa64,759bf850e6cdbd12,plaintext,False,0.003,0.0,,,,,,,,,,,,,
fedrep_reference_seed0_1r,FedRep+FixedPointReference,0,0,0.15737349070682405,2.5521830394914624,0.1594447327451998,2.5503965095980803,,,3.026846570719499e-05,1.0759186807263177e-05,0.0,3,"993,859,298",3,1,,3.026846570719499e-05,3,324620f055474306878c05a6ebaa49111c6d633c8a4bac8a96d89940a27f9055,759bf850e6cdbd12,chunked-reference,False,0.003,0.0,1198592,23,65536,16384,8.0,0.0,0.03611310000000856,0.011098599999989744,0.06558199999999914,,,,
