method,status,rows,result_file,reason,reference
HybridAlpha,not_implemented,0,,No implementation exists in this repository,https://arxiv.org/abs/1912.05897
CryptoFE,not_implemented,0,,No implementation exists in this repository,https://doi.org/10.1109/GLOBECOM48099.2022.10001080
