round,train_acc,train_loss,test_acc,test_loss,dmcfe_fedavg_max_error,dmcfe_fedavg_mean_error,dmcfe_fedrep_max_error,dmcfe_fedrep_mean_error,dropout_rate,online_clients,online_client_ids,recovery_threshold,coded_communication_rounds,secagg_baseline_rounds,recovery_error,dmcfe_weight_signatures_verified,run_id,method,seed,config_hash,matrix_id,backend,backend_secure,participation_rate,protocol_dropout_rate,coordinates,chunks,chunk_size,scale,clip_bound,clipped_fraction,encode_seconds,aggregate_seconds,total_aggregation_seconds,serialized_upload_bytes,serialized_key_bytes,recovery_bytes,peak_memory_bytes
0,0.16226647638816813,2.4477014694832646,0.16130782797449464,2.4472437307689394,,,,,,3,"993,859,298",,,,,,fedrep_seed2_50r,FedRep,2,bfc0d760760da4e645232d650d3b80c981a29b2bdafb94bc7d0933b9d6f6788b,aa8854cd2e503503,plaintext,False,0.003,,,,,,,,,,,,,,
1,0.12381616502335237,2.751175905798224,0.12237145570478904,2.74889413288904,,,,,,3,"507,818,452",,,,,,fedrep_seed2_50r,FedRep,2,bfc0d760760da4e645232d650d3b80c981a29b2bdafb94bc7d0933b9d6f6788b,aa8854cd2e503503,plaintext,False,0.003,,,,,,,,,,,,,,
2,0.18073754540736897,2.3572119906202507,0.17840184506851173,2.3569522398796776,,,,,,3,"37,726,846",,,,,,fedrep_seed2_50r,FedRep,2,bfc0d760760da4e645232d650d3b80c981a29b2bdafb94bc7d0933b9d6f6788b,aa8854cd2e503503,plaintext,False,0.003,,,,,,,,,,,,,,
3,0.17512649195640892,2.487495389910532,0.1737891737891738,2.4846136426524574,,,,,,3,"642,762,909",,,,,,fedrep_seed2_50r,FedRep,2,bfc0d760760da4e645232d650d3b80c981a29b2bdafb94bc7d0933b9d6f6788b,aa8854cd2e503503,plaintext,False,0.003,,,,,,,,,,,,,,
4,0.16354761286974573,2.597401785367906,0.16225749559082892,2.5930135945236485,,,,,,3,"698,577,763",,,,,,fedrep_seed2_50r,FedRep,2,bfc0d760760da4e645232d650d3b80c981a29b2bdafb94bc7d0933b9d6f6788b,aa8854cd2e503503,plaintext,False,0.003,,,,,,,,,,,,,,
5,0.15287688116242865,2.5360649065913816,0.15113281779948445,2.53413171713191,,,,,,3,"544,515,193",,,,,,fedrep_seed2_50r,FedRep,2,bfc0d760760da4e645232d650d3b80c981a29b2bdafb94bc7d0933b9d6f6788b,aa8854cd2e503503,plaintext,False,0.003,,,,,,,,,,,,,,
6,0.17999156720290607,2.5205396827204662,0.17799484466151133,2.5193782951457906,,,,,,3,"978,22,909",,,,,,fedrep_seed2_50r,FedRep,2,bfc0d760760da4e645232d650d3b80c981a29b2bdafb94bc7d0933b9d6f6788b,aa8854cd2e503503,plaintext,False,0.003,,,,,,,,,,,,,,
7,0.18542423456149454,2.409913346639064,0.18491385158051823,2.4081967092283287,,,,,,3,"778,334,271",,,,,,fedrep_seed2_50r,FedRep,2,bfc0d760760da4e645232d650d3b80c981a29b2bdafb94bc7d0933b9d6f6788b,aa8854cd2e503503,plaintext,False,0.003,,,,,,,,,,,,,,
8,0.17579138557343021,2.4686728753422575,0.1754171754171754,2.467025596522105,,,,,,3,"908,265,627",,,,,,fedrep_seed2_50r,FedRep,2,bfc0d760760da4e645232d650d3b80c981a29b2bdafb94bc7d0933b9d6f6788b,aa8854cd2e503503,plaintext,False,0.003,,,,,,,,,,,,,,
9,0.18897573949143748,2.5591899821110413,0.18789852123185458,2.557933157966939,,,,,,3,"2,879,57",,,,,,fedrep_seed2_50r,FedRep,2,bfc0d760760da4e645232d650d3b80c981a29b2bdafb94bc7d0933b9d6f6788b,aa8854cd2e503503,plaintext,False,0.003,,,,,,,,,,,,,,
