round,train_acc,train_loss,test_acc,test_loss,dmcfe_fedavg_max_error,dmcfe_fedavg_mean_error,dmcfe_fedrep_max_error,dmcfe_fedrep_mean_error,dropout_rate,online_clients,online_client_ids,recovery_threshold,coded_communication_rounds,secagg_baseline_rounds,recovery_error,dmcfe_weight_signatures_verified,run_id,method,seed,config_hash,matrix_id,backend,backend_secure,participation_rate,protocol_dropout_rate,coordinates,chunks,chunk_size,scale,clip_bound,clipped_fraction,encode_seconds,aggregate_seconds,total_aggregation_seconds,serialized_upload_bytes,serialized_key_bytes,recovery_bytes,peak_memory_bytes
0,0.15942851582771148,2.550470299952092,0.15737349070682405,2.5522637408893347,,,,,,3,"993,859,298",,,,,,fedrep_seed0_50r,FedRep,0,4e911631e44a20c91d04e783fb8ef43cd509cb5530bff1d677e79e5afa832fea,aa8854cd2e503503,plaintext,False,0.003,,,,,,,,,,,,,,
1,0.13335171250648678,2.8349919301998034,0.13024013024013023,2.834249641788231,,,,,,3,"507,818,452",,,,,,fedrep_seed0_50r,FedRep,0,4e911631e44a20c91d04e783fb8ef43cd509cb5530bff1d677e79e5afa832fea,aa8854cd2e503503,plaintext,False,0.003,,,,,,,,,,,,,,
2,0.10036650233523611,2.8633648340074553,0.09998643331976666,2.8603915053021387,,,,,,3,"37,726,846",,,,,,fedrep_seed0_50r,FedRep,0,4e911631e44a20c91d04e783fb8ef43cd509cb5530bff1d677e79e5afa832fea,aa8854cd2e503503,plaintext,False,0.003,,,,,,,,,,,,,,
3,0.10146925272444214,2.897163303272786,0.10134310134310134,2.890447184924613,,,,,,3,"642,762,909",,,,,,fedrep_seed0_50r,FedRep,0,4e911631e44a20c91d04e783fb8ef43cd509cb5530bff1d677e79e5afa832fea,aa8854cd2e503503,plaintext,False,0.003,,,,,,,,,,,,,,
4,0.10216658017644006,2.9489023634389655,0.10269976936643603,2.9399765694688025,,,,,,3,"698,577,763",,,,,,fedrep_seed0_50r,FedRep,0,4e911631e44a20c91d04e783fb8ef43cd509cb5530bff1d677e79e5afa832fea,aa8854cd2e503503,plaintext,False,0.003,,,,,,,,,,,,,,
5,0.10779385054488842,2.8805004869473145,0.10771944105277438,2.8749730864696668,,,,,,3,"544,515,193",,,,,,fedrep_seed0_50r,FedRep,0,4e911631e44a20c91d04e783fb8ef43cd509cb5530bff1d677e79e5afa832fea,aa8854cd2e503503,plaintext,False,0.003,,,,,,,,,,,,,,
6,0.12988129216398547,2.8739956294997047,0.12901912901912901,2.868648493296821,,,,,,3,"978,22,909",,,,,,fedrep_seed0_50r,FedRep,0,4e911631e44a20c91d04e783fb8ef43cd509cb5530bff1d677e79e5afa832fea,aa8854cd2e503503,plaintext,False,0.003,,,,,,,,,,,,,,
7,0.1264919564089258,2.6762173327023007,0.12657712657712658,2.668795875898696,,,,,,3,"778,334,271",,,,,,fedrep_seed0_50r,FedRep,0,4e911631e44a20c91d04e783fb8ef43cd509cb5530bff1d677e79e5afa832fea,aa8854cd2e503503,plaintext,False,0.003,,,,,,,,,,,,,,
8,0.1284704203425013,2.666255860928262,0.12711979378646046,2.6576341093011053,,,,,,3,"908,265,627",,,,,,fedrep_seed0_50r,FedRep,0,4e911631e44a20c91d04e783fb8ef43cd509cb5530bff1d677e79e5afa832fea,aa8854cd2e503503,plaintext,False,0.003,,,,,,,,,,,,,,
9,0.17071549039958483,2.475635113231278,0.17121150454483788,2.467309592217893,,,,,,3,"2,879,57",,,,,,fedrep_seed0_50r,FedRep,0,4e911631e44a20c91d04e783fb8ef43cd509cb5530bff1d677e79e5afa832fea,aa8854cd2e503503,plaintext,False,0.003,,,,,,,,,,,,,,
10,0.16649909185262066,2.4609825876118623,0.16469949803283138,2.451441011588496,,,,,,3,"841,956,544",,,,,,fedrep_seed0_50r,FedRep,0,4e911631e44a20c91d04e783fb8ef43cd509cb5530bff1d677e79e5afa832fea,aa8854cd2e503503,plaintext,False,0.003,,,,,,,,,,,,,,
11,0.1946516606123508,2.295897642749066,0.1942748609415276,2.286986535955071,,,,,,3,"25,464,372",,,,,,fedrep_seed0_50r,FedRep,0,4e911631e44a20c91d04e783fb8ef43cd509cb5530bff1d677e79e5afa832fea,aa8854cd2e503503,plaintext,False,0.003,,,,,,,,,,,,,,
12,0.21116048261546444,2.1316946761741824,0.21299687966354633,2.123098426668792,,,,,,3,"518,871,797",,,,,,fedrep_seed0_50r,FedRep,0,4e911631e44a20c91d04e783fb8ef43cd509cb5530bff1d677e79e5afa832fea,aa8854cd2e503503,plaintext,False,0.003,,,,,,,,,,,,,,
13,0.20538725998962118,2.1731948056723422,0.20621353954687288,2.1636924746685997,,,,,,3,"945,452,304",,,,,,fedrep_seed0_50r,FedRep,0,4e911631e44a20c91d04e783fb8ef43cd509cb5530bff1d677e79e5afa832fea,aa8854cd2e503503,plaintext,False,0.003,,,,,,,,,,,,,,
14,0.2296477685521536,2.2262361580909795,0.22900556233889569,2.2164633184933074,,,,,,3,"172,278,486",,,,,,fedrep_seed0_50r,FedRep,0,4e911631e44a20c91d04e783fb8ef43cd509cb5530bff1d677e79e5afa832fea,aa8854cd2e503503,plaintext,False,0.003,,,,,,,,,,,,,,
15,0.2922126362221069,2.0345215907382994,0.29507529507529506,2.023892660272748,,,,,,3,"825,374,488",,,,,,fedrep_seed0_50r,FedRep,0,4e911631e44a20c91d04e783fb8ef43cd509cb5530bff1d677e79e5afa832fea,aa8854cd2e503503,plaintext,False,0.003,,,,,,,,,,,,,,
16,0.32365723923196676,2.0215904413558903,0.32451499118165783,2.0132111994550708,,,,,,3,"221,988,882",,,,,,fedrep_seed0_50r,FedRep,0,4e911631e44a20c91d04e783fb8ef43cd509cb5530bff1d677e79e5afa832fea,aa8854cd2e503503,plaintext,False,0.003,,,,,,,,,,,,,,
17,0.3622697197716658,1.836157771152987,0.36250169583502917,1.8280461500371965,,,,,,3,"786,499,930",,,,,,fedrep_seed0_50r,FedRep,0,4e911631e44a20c91d04e783fb8ef43cd509cb5530bff1d677e79e5afa832fea,aa8854cd2e503503,plaintext,False,0.003,,,,,,,,,,,,,,
18,0.4334782044628957,1.7115200705858054,0.4306064306064306,1.7052374939569297,,,,,,3,"246,751,75",,,,,,fedrep_seed0_50r,FedRep,0,4e911631e44a20c91d04e783fb8ef43cd509cb5530bff1d677e79e5afa832fea,aa8854cd2e503503,plaintext,False,0.003,,,,,,,,,,,,,,
19,0.38748702646600935,1.7110566478728608,0.3820377153710487,1.7084675803611722,,,,,,3,"800,773,23",,,,,,fedrep_seed0_50r,FedRep,0,4e911631e44a20c91d04e783fb8ef43cd509cb5530bff1d677e79e5afa832fea,aa8854cd2e503503,plaintext,False,0.003,,,,,,,,,,,,,,
20,0.36754021795537106,1.7301022683737675,0.36982770316103647,1.7234481288247574,,,,,,3,"890,694,798",,,,,,fedrep_seed0_50r,FedRep,0,4e911631e44a20c91d04e783fb8ef43cd509cb5530bff1d677e79e5afa832fea,aa8854cd2e503503,plaintext,False,0.003,,,,,,,,,,,,,,
21,0.2947424753502854,1.7957139039560621,0.2975172975172975,1.7936922864746614,,,,,,3,"492,383,856",,,,,,fedrep_seed0_50r,FedRep,0,4e911631e44a20c91d04e783fb8ef43cd509cb5530bff1d677e79e5afa832fea,aa8854cd2e503503,plaintext,False,0.003,,,,,,,,,,,,,,
22,0.2996237675142709,1.838049829193499,0.30185863519196854,1.8364962878152908,,,,,,3,"866,191,732",,,,,,fedrep_seed0_50r,FedRep,0,4e911631e44a20c91d04e783fb8ef43cd509cb5530bff1d677e79e5afa832fea,aa8854cd2e503503,plaintext,False,0.003,,,,,,,,,,,,,,
23,0.308494421380384,1.8568868280232647,0.3110839777506444,1.8545958335775015,,,,,,3,"519,837,208",,,,,,fedrep_seed0_50r,FedRep,0,4e911631e44a20c91d04e783fb8ef43cd509cb5530bff1d677e79e5afa832fea,aa8854cd2e503503,plaintext,False,0.003,,,,,,,,,,,,,,
24,0.3349604307213285,1.8295042432776634,0.33238366571699907,1.828175430280397,,,,,,3,"131,354,982",,,,,,fedrep_seed0_50r,FedRep,0,4e911631e44a20c91d04e783fb8ef43cd509cb5530bff1d677e79e5afa832fea,aa8854cd2e503503,plaintext,False,0.003,,,,,,,,,,,,,,
25,0.36700505967825636,1.7158992293166304,0.37159137159137157,1.7136993089194266,,,,,,3,"688,49,288",,,,,,fedrep_seed0_50r,FedRep,0,4e911631e44a20c91d04e783fb8ef43cd509cb5530bff1d677e79e5afa832fea,aa8854cd2e503503,plaintext,False,0.003,,,,,,,,,,,,,,
26,0.3695024649714582,1.5894935755387258,0.36996336996337,1.5887644010864281,,,,,,3,"769,824,107",,,,,,fedrep_seed0_50r,FedRep,0,4e911631e44a20c91d04e783fb8ef43cd509cb5530bff1d677e79e5afa832fea,aa8854cd2e503503,plaintext,False,0.003,,,,,,,,,,,,,,
27,0.3452419564089258,1.7085663215955236,0.3463573463573464,1.7066800803670792,,,,,,3,"754,768,23",,,,,,fedrep_seed0_50r,FedRep,0,4e911631e44a20c91d04e783fb8ef43cd509cb5530bff1d677e79e5afa832fea,aa8854cd2e503503,plaintext,False,0.003,,,,,,,,,,,,,,
28,0.3656590555267255,1.6940414830126946,0.369692036358703,1.6929617342414836,,,,,,3,"63,312,392",,,,,,fedrep_seed0_50r,FedRep,0,4e911631e44a20c91d04e783fb8ef43cd509cb5530bff1d677e79e5afa832fea,aa8854cd2e503503,plaintext,False,0.003,,,,,,,,,,,,,,
29,0.3641670991177997,1.6773963250761184,0.3664360331026998,1.676143185698332,,,,,,3,"795,973,794",,,,,,fedrep_seed0_50r,FedRep,0,4e911631e44a20c91d04e783fb8ef43cd509cb5530bff1d677e79e5afa832fea,aa8854cd2e503503,plaintext,False,0.003,,,,,,,,,,,,,,
30,0.3576478982874935,1.7662176202055053,0.3576176909510243,1.767939427579673,,,,,,3,"923,921,516",,,,,,fedrep_seed0_50r,FedRep,0,4e911631e44a20c91d04e783fb8ef43cd509cb5530bff1d677e79e5afa832fea,aa8854cd2e503503,plaintext,False,0.003,,,,,,,,,,,,,,
31,0.343198624805397,1.8563597373594936,0.3460860127526794,1.8552035584593598,,,,,,3,"975,558,222",,,,,,fedrep_seed0_50r,FedRep,0,4e911631e44a20c91d04e783fb8ef43cd509cb5530bff1d677e79e5afa832fea,aa8854cd2e503503,plaintext,False,0.003,,,,,,,,,,,,,,
32,0.3422742605085625,1.8364978903318832,0.34201600868267534,1.8354727491322762,,,,,,3,"632,687,833",,,,,,fedrep_seed0_50r,FedRep,0,4e911631e44a20c91d04e783fb8ef43cd509cb5530bff1d677e79e5afa832fea,aa8854cd2e503503,plaintext,False,0.003,,,,,,,,,,,,,,
33,0.3650103788271925,1.7879257075067916,0.3637226970560304,1.7897061326434276,,,,,,3,"286,402,253",,,,,,fedrep_seed0_50r,FedRep,0,4e911631e44a20c91d04e783fb8ef43cd509cb5530bff1d677e79e5afa832fea,aa8854cd2e503503,plaintext,False,0.003,,,,,,,,,,,,,,
34,0.4106285677218474,1.6479979403096283,0.41120607787274455,1.6517439805820502,,,,,,3,"430,972,395",,,,,,fedrep_seed0_50r,FedRep,0,4e911631e44a20c91d04e783fb8ef43cd509cb5530bff1d677e79e5afa832fea,aa8854cd2e503503,plaintext,False,0.003,,,,,,,,,,,,,,
35,0.42465620134924753,1.571347201205915,0.42395875729209065,1.5730700643932751,,,,,,3,"832,617,638",,,,,,fedrep_seed0_50r,FedRep,0,4e911631e44a20c91d04e783fb8ef43cd509cb5530bff1d677e79e5afa832fea,aa8854cd2e503503,plaintext,False,0.003,,,,,,,,,,,,,,
36,0.5108004670472237,1.414993279776671,0.5083435083435084,1.4167387775202758,,,,,,3,"329,898,928",,,,,,fedrep_seed0_50r,FedRep,0,4e911631e44a20c91d04e783fb8ef43cd509cb5530bff1d677e79e5afa832fea,aa8854cd2e503503,plaintext,False,0.003,,,,,,,,,,,,,,
37,0.5423910223144784,1.3745967518465019,0.5432098765432098,1.3760855503771154,,,,,,3,"982,697,11",,,,,,fedrep_seed0_50r,FedRep,0,4e911631e44a20c91d04e783fb8ef43cd509cb5530bff1d677e79e5afa832fea,aa8854cd2e503503,plaintext,False,0.003,,,,,,,,,,,,,,
38,0.5605701868188895,1.3202010846528425,0.5615248948582282,1.32161285262545,,,,,,3,"635,215,10",,,,,,fedrep_seed0_50r,FedRep,0,4e911631e44a20c91d04e783fb8ef43cd509cb5530bff1d677e79e5afa832fea,aa8854cd2e503503,plaintext,False,0.003,,,,,,,,,,,,,,
39,0.52854177477945,1.3827954725305822,0.5259801926468594,1.3867920059239958,,,,,,3,"173,201,929",,,,,,fedrep_seed0_50r,FedRep,0,4e911631e44a20c91d04e783fb8ef43cd509cb5530bff1d677e79e5afa832fea,aa8854cd2e503503,plaintext,False,0.003,,,,,,,,,,,,,,
40,0.5184548521017125,1.3591553178336604,0.5164835164835165,1.362153734088109,,,,,,3,"204,71,594",,,,,,fedrep_seed0_50r,FedRep,0,4e911631e44a20c91d04e783fb8ef43cd509cb5530bff1d677e79e5afa832fea,aa8854cd2e503503,plaintext,False,0.003,,,,,,,,,,,,,,
41,0.4941294758692268,1.4358647007454632,0.494641161307828,1.4399332747742293,,,,,,3,"219,522,833",,,,,,fedrep_seed0_50r,FedRep,0,4e911631e44a20c91d04e783fb8ef43cd509cb5530bff1d677e79e5afa832fea,aa8854cd2e503503,plaintext,False,0.003,,,,,,,,,,,,,,
42,0.5199143746756617,1.350643083038131,0.5204178537511871,1.3528704975874701,,,,,,3,"521,737,740",,,,,,fedrep_seed0_50r,FedRep,0,4e911631e44a20c91d04e783fb8ef43cd509cb5530bff1d677e79e5afa832fea,aa8854cd2e503503,plaintext,False,0.003,,,,,,,,,,,,,,
