round,train_acc,train_loss,test_acc,test_loss,dmcfe_fedavg_max_error,dmcfe_fedavg_mean_error,dmcfe_fedrep_max_error,dmcfe_fedrep_mean_error,dropout_rate,online_clients,online_client_ids,recovery_threshold,coded_communication_rounds,secagg_baseline_rounds,recovery_error,dmcfe_weight_signatures_verified,run_id,method,seed,config_hash,matrix_id,backend,backend_secure,participation_rate,protocol_dropout_rate,coordinates,chunks,chunk_size,scale,clip_bound,clipped_fraction,encode_seconds,aggregate_seconds,total_aggregation_seconds,serialized_upload_bytes,serialized_key_bytes,recovery_bytes,peak_memory_bytes
0,0.17650492994291644,2.6844490900796174,0.17568850902184235,2.68529521565055,,,,,,3,"993,859,298",,,,,,fedavg_seed2_50r,FedAvg,2,5f88657edcac7b0e9a53a0a3b541085b9a0e921d0e96a804dc807cbe13c58e79,aa8854cd2e503503,plaintext,False,0.003,,,,,,,,,,,,,,
1,0.1019881940840685,2.7269231202240336,0.10297110297110297,2.7234040181949917,,,,,,3,"507,818,452",,,,,,fedavg_seed2_50r,FedAvg,2,5f88657edcac7b0e9a53a0a3b541085b9a0e921d0e96a804dc807cbe13c58e79,aa8854cd2e503503,plaintext,False,0.003,,,,,,,,,,,,,,
2,0.14591982355993774,2.436848078195642,0.14557047890381225,2.4363046003607427,,,,,,3,"37,726,846",,,,,,fedavg_seed2_50r,FedAvg,2,5f88657edcac7b0e9a53a0a3b541085b9a0e921d0e96a804dc807cbe13c58e79,aa8854cd2e503503,plaintext,False,0.003,,,,,,,,,,,,,,
3,0.09996107939802802,2.9510462065622427,0.09862976529643196,2.9482122447800077,,,,,,3,"642,762,909",,,,,,fedavg_seed2_50r,FedAvg,2,5f88657edcac7b0e9a53a0a3b541085b9a0e921d0e96a804dc807cbe13c58e79,aa8854cd2e503503,plaintext,False,0.003,,,,,,,,,,,,,,
4,0.0976258432797094,2.5002734701583655,0.09903676570343237,2.49682910412271,,,,,,3,"698,577,763",,,,,,fedavg_seed2_50r,FedAvg,2,5f88657edcac7b0e9a53a0a3b541085b9a0e921d0e96a804dc807cbe13c58e79,aa8854cd2e503503,plaintext,False,0.003,,,,,,,,,,,,,,
5,0.09039309807991697,4.43551295596212,0.09238909238909239,4.44023325361092,,,,,,3,"544,515,193",,,,,,fedavg_seed2_50r,FedAvg,2,5f88657edcac7b0e9a53a0a3b541085b9a0e921d0e96a804dc807cbe13c58e79,aa8854cd2e503503,plaintext,False,0.003,,,,,,,,,,,,,,
6,0.25786520498183707,2.118122176139132,0.2612942612942613,2.1144853792008123,,,,,,3,"978,22,909",,,,,,fedavg_seed2_50r,FedAvg,2,5f88657edcac7b0e9a53a0a3b541085b9a0e921d0e96a804dc807cbe13c58e79,aa8854cd2e503503,plaintext,False,0.003,,,,,,,,,,,,,,
7,0.2719090555267255,2.0633784540018842,0.27350427350427353,2.058672695919384,,,,,,3,"778,334,271",,,,,,fedavg_seed2_50r,FedAvg,2,5f88657edcac7b0e9a53a0a3b541085b9a0e921d0e96a804dc807cbe13c58e79,aa8854cd2e503503,plaintext,False,0.003,,,,,,,,,,,,,,
8,0.15477426050856252,3.0848491005212857,0.15655948989282323,3.079374203949928,,,,,,3,"908,265,627",,,,,,fedavg_seed2_50r,FedAvg,2,5f88657edcac7b0e9a53a0a3b541085b9a0e921d0e96a804dc807cbe13c58e79,aa8854cd2e503503,plaintext,False,0.003,,,,,,,,,,,,,,
9,0.0993934872859367,6.335460101301404,0.10120743454076787,6.336267540411048,,,,,,3,"2,879,57",,,,,,fedavg_seed2_50r,FedAvg,2,5f88657edcac7b0e9a53a0a3b541085b9a0e921d0e96a804dc807cbe13c58e79,aa8854cd2e503503,plaintext,False,0.003,,,,,,,,,,,,,,
10,0.26024909185262063,1.9588344832918532,0.2629222629222629,1.9517882250359562,,,,,,3,"841,956,544",,,,,,fedavg_seed2_50r,FedAvg,2,5f88657edcac7b0e9a53a0a3b541085b9a0e921d0e96a804dc807cbe13c58e79,aa8854cd2e503503,plaintext,False,0.003,,,,,,,,,,,,,,
11,0.27174688635184224,1.9902285531301078,0.26997693664360334,1.9829590922455793,,,,,,3,"25,464,372",,,,,,fedavg_seed2_50r,FedAvg,2,5f88657edcac7b0e9a53a0a3b541085b9a0e921d0e96a804dc807cbe13c58e79,aa8854cd2e503503,plaintext,False,0.003,,,,,,,,,,,,,,
12,0.26569797612869744,2.267808239774209,0.2617012617012617,2.2706515386809545,,,,,,3,"518,871,797",,,,,,fedavg_seed2_50r,FedAvg,2,5f88657edcac7b0e9a53a0a3b541085b9a0e921d0e96a804dc807cbe13c58e79,aa8854cd2e503503,plaintext,False,0.003,,,,,,,,,,,,,,
13,0.25976258432797095,2.0143030941780933,0.26699226699226697,1.9989361066243336,,,,,,3,"945,452,304",,,,,,fedavg_seed2_50r,FedAvg,2,5f88657edcac7b0e9a53a0a3b541085b9a0e921d0e96a804dc807cbe13c58e79,aa8854cd2e503503,plaintext,False,0.003,,,,,,,,,,,,,,
