round,train_acc,train_loss,test_acc,test_loss,dmcfe_fedavg_max_error,dmcfe_fedavg_mean_error,dmcfe_fedrep_max_error,dmcfe_fedrep_mean_error,dropout_rate,online_clients,online_client_ids,recovery_threshold,coded_communication_rounds,secagg_baseline_rounds,recovery_error,dmcfe_weight_signatures_verified,run_id,method,seed,config_hash,matrix_id,backend,backend_secure,participation_rate,protocol_dropout_rate,coordinates,chunks,chunk_size,scale,clip_bound,clipped_fraction,encode_seconds,aggregate_seconds,total_aggregation_seconds,serialized_upload_bytes,serialized_key_bytes,recovery_bytes,peak_memory_bytes
0,0.1352815256875973,2.5732615025280037,0.1339031339031339,2.576178291976541,,,3.013093172028513e-05,9.037900872604115e-06,,3,"993,859,298",,,,,3,fedrep_reference_seed1_50r,FedRep+FixedPointReference,1,8426d130d5d5890028ff444b8650040e0b6ce53a2f234a55168a10ea229943b0,aa8854cd2e503503,chunked-reference,False,0.003,,1198592,23,65536,16384,8.0,0.0,0.037276500000004376,0.0094566999999941,0.06582709999999992,,,,
1,0.134065256875973,2.671535373839321,0.13105413105413105,2.6742589429633425,,,3.0239907881388293e-05,5.963690860388296e-06,,3,"507,818,452",,,,,3,fedrep_reference_seed1_50r,FedRep+FixedPointReference,1,8426d130d5d5890028ff444b8650040e0b6ce53a2f234a55168a10ea229943b0,aa8854cd2e503503,chunked-reference,False,0.003,,1198592,23,65536,16384,8.0,0.0,0.03809469999999493,0.009292999999999552,0.06398310000000151,,,,
2,0.10284769071094967,2.5184086088247124,0.10120743454076787,2.5188095408166187,,,3.015747033925944e-05,5.482788494452455e-06,,3,"37,726,846",,,,,3,fedrep_reference_seed1_50r,FedRep+FixedPointReference,1,8426d130d5d5890028ff444b8650040e0b6ce53a2f234a55168a10ea229943b0,aa8854cd2e503503,chunked-reference,False,0.003,,1198592,23,65536,16384,8.0,0.0,0.036304299999997625,0.00926709999999531,0.06428909999999632,,,,
3,0.12736766995329526,2.516314605071565,0.12657712657712658,2.515325996558292,,,3.0302756818608172e-05,6.6853979399576485e-06,,3,"642,762,909",,,,,3,fedrep_reference_seed1_50r,FedRep+FixedPointReference,1,8426d130d5d5890028ff444b8650040e0b6ce53a2f234a55168a10ea229943b0,aa8854cd2e503503,chunked-reference,False,0.003,,1198592,23,65536,16384,8.0,0.0,0.038073499999995875,0.008503700000005665,0.06367849999999464,,,,
4,0.13474636741048263,2.555256006633397,0.1344458011124678,2.55368058475043,,,3.018840733501647e-05,5.402109506423647e-06,,3,"698,577,763",,,,,3,fedrep_reference_seed1_50r,FedRep+FixedPointReference,1,8426d130d5d5890028ff444b8650040e0b6ce53a2f234a55168a10ea229943b0,aa8854cd2e503503,chunked-reference,False,0.003,,1198592,23,65536,16384,8.0,0.0,0.037926899999987995,0.009711299999992207,0.06484369999999728,,,,
5,0.12467566165023353,2.4959567927652078,0.12454212454212454,2.497773470153385,,,3.0351816402638657e-05,9.905367354682368e-06,,3,"544,515,193",,,,,3,fedrep_reference_seed1_50r,FedRep+FixedPointReference,1,8426d130d5d5890028ff444b8650040e0b6ce53a2f234a55168a10ea229943b0,aa8854cd2e503503,chunked-reference,False,0.003,,1198592,23,65536,16384,8.0,0.0,0.03620810000001029,0.011456700000010756,0.06700229999999863,,,,
6,0.1800726517903477,2.3734801939997685,0.18016551349884682,2.3738181594363246,,,3.0250754207372665e-05,4.769398031060649e-06,,3,"978,22,909",,,,,3,fedrep_reference_seed1_50r,FedRep+FixedPointReference,1,8426d130d5d5890028ff444b8650040e0b6ce53a2f234a55168a10ea229943b0,aa8854cd2e503503,chunked-reference,False,0.003,,1198592,23,65536,16384,8.0,0.0,0.03433010000001957,0.01025580000001014,0.062139599999994743,,,,
7,0.163061105345096,2.4207270423845033,0.16157916157916158,2.424411526400146,,,2.9918352334663785e-05,5.015207097017483e-06,,3,"778,334,271",,,,,3,fedrep_reference_seed1_50r,FedRep+FixedPointReference,1,8426d130d5d5890028ff444b8650040e0b6ce53a2f234a55168a10ea229943b0,aa8854cd2e503503,chunked-reference,False,0.003,,1198592,23,65536,16384,8.0,0.0,0.03368449999999257,0.009534699999989016,0.05983940000001553,,,,
8,0.1472658277114686,2.6852332389874225,0.14557047890381225,2.6911687593057545,,,3.038558402451976e-05,6.65142675510073e-06,,3,"908,265,627",,,,,3,fedrep_reference_seed1_50r,FedRep+FixedPointReference,1,8426d130d5d5890028ff444b8650040e0b6ce53a2f234a55168a10ea229943b0,aa8854cd2e503503,chunked-reference,False,0.003,,1198592,23,65536,16384,8.0,0.0,0.038513900000026524,0.009512999999998328,0.06452070000000276,,,,
9,0.1740237415672029,2.508557738908414,0.17338217338217338,2.5121688868473093,,,3.0430723612495842e-05,9.431678243406211e-06,,3,"2,879,57",,,,,3,fedrep_reference_seed1_50r,FedRep+FixedPointReference,1,8426d130d5d5890028ff444b8650040e0b6ce53a2f234a55168a10ea229943b0,aa8854cd2e503503,chunked-reference,False,0.003,,1198592,23,65536,16384,8.0,0.0,0.03548379999998019,0.009696399999967298,0.061382199999997056,,,,
10,0.20660352880124547,2.332091536738409,0.20689187355854022,2.3359004610605907,,,3.0223634980973765e-05,5.538914721778784e-06,,3,"841,956,544",,,,,3,fedrep_reference_seed1_50r,FedRep+FixedPointReference,1,8426d130d5d5890028ff444b8650040e0b6ce53a2f234a55168a10ea229943b0,aa8854cd2e503503,chunked-reference,False,0.003,,1198592,23,65536,16384,8.0,0.0,0.03709360000001993,0.009529400000047872,0.06333879999999681,,,,
11,0.22053386092371563,2.1847900497428063,0.2201872201872202,2.1851283052645973,,,3.0192403452626137e-05,5.385541770898316e-06,,3,"25,464,372",,,,,3,fedrep_reference_seed1_50r,FedRep+FixedPointReference,1,8426d130d5d5890028ff444b8650040e0b6ce53a2f234a55168a10ea229943b0,aa8854cd2e503503,chunked-reference,False,0.003,,1198592,23,65536,16384,8.0,0.0,0.037174400000054675,0.008926900000034266,0.0630745999999931,,,,
12,0.2394427867151012,2.0843259240876133,0.24040157373490706,2.082488187105559,,,3.0220615262367637e-05,6.175279100841473e-06,,3,"518,871,797",,,,,3,fedrep_reference_seed1_50r,FedRep+FixedPointReference,1,8426d130d5d5890028ff444b8650040e0b6ce53a2f234a55168a10ea229943b0,aa8854cd2e503503,chunked-reference,False,0.003,,1198592,23,65536,16384,8.0,0.0,0.03641359999997462,0.009155599999985498,0.060813700000011295,,,,
13,0.24463220031136482,2.0774464443603464,0.2459639126305793,2.07580378032274,,,3.045783801512284e-05,5.526145022157631e-06,,3,"945,452,304",,,,,3,fedrep_reference_seed1_50r,FedRep+FixedPointReference,1,8426d130d5d5890028ff444b8650040e0b6ce53a2f234a55168a10ea229943b0,aa8854cd2e503503,chunked-reference,False,0.003,,1198592,23,65536,16384,8.0,0.0,0.03409880000000953,0.007790600000021186,0.06008239999999887,,,,
14,0.2811526984950701,2.129065171114192,0.282322615655949,2.1283250281115027,,,3.030950808402983e-05,7.719060237698488e-06,,3,"172,278,486",,,,,3,fedrep_reference_seed1_50r,FedRep+FixedPointReference,1,8426d130d5d5890028ff444b8650040e0b6ce53a2f234a55168a10ea229943b0,aa8854cd2e503503,chunked-reference,False,0.003,,1198592,23,65536,16384,8.0,0.0,0.03682549999996354,0.008704299999976683,0.06259869999999523,,,,
15,0.28270952257394916,2.1725042162307755,0.28300094966761635,2.1703017488044183,,,3.0104498601640046e-05,6.186127106077772e-06,,3,"825,374,488",,,,,3,fedrep_reference_seed1_50r,FedRep+FixedPointReference,1,8426d130d5d5890028ff444b8650040e0b6ce53a2f234a55168a10ea229943b0,aa8854cd2e503503,chunked-reference,False,0.003,,1198592,23,65536,16384,8.0,0.0,0.03268889999998237,0.009589199999993525,0.05809529999999086,,,,
